-Infini;+Infini;+Infini;12,76032;115,9609;8,035836
-Infini;+Infini;+Infini;359,5391;121,8284;359,849
-Infini;+Infini;+Infini;359,2188;121,3449;359,8948
-Infini;+Infini;+Infini;359,1689;121,6061;359,9346
-Infini;+Infini;+Infini;359,1192;121,5693;359,9583
-Infini;+Infini;+Infini;359,134;121,6115;359,9611
0,12678;1,03207;2,23587;359,7027;121,5925;359,9917
0,11235;0,93412;2,0277;359,5726;121,5664;0,03072874
0,09937;0,83374;1,81221;359,6571;121,5935;0,001244811
0,0967;0,81144;1,76169;359,4943;121,5848;0,01585135
0,09381;0,78494;1,70529;359,6653;121,6014;359,979
0,10392;0,86928;1,87549;359,5327;121,6135;359,9834
0,11317;0,93986;2,01215;359,5764;121,6379;-0,001900939
0,11851;0,98855;2,10998;359,6147;121,6237;0,0008539531
0,11435;0,96193;2,05416;359,6203;121,6201;0,008380559
0,11026;0,93822;2,00437;359,618;121,6189;0,003911584
0,10715;0,92101;1,96847;359,61;121,6221;359,9884
0,10307;0,90272;1,9326;359,6419;121,613;0,02658368
0,10158;0,89794;1,92416;359,6327;121,6121;0,005055845
0,09734;0,87465;1,87814;359,6639;121,6016;0,03201869
0,0994;0,89266;1,91462;359,6292;121,5949;0,002573608
0,09146;0,8282;1,78206;359,6365;121,5999;0,008640788
0,08216;0,7473;1,61587;359,6259;121,5795;0,01332042
0,07368;0,67329;1,46154;359,6534;121,5947;0,01569167
0,07208;0,65949;1,43411;359,6457;121,595;0,01403655
0,06679;0,61195;1,33506;359,6431;121,5834;0,001451803
0,06537;0,60034;1,31357;359,6253;121,5693;0,0198866
0,07306;0,66356;1,44854;359,6458;121,5696;0,01291124
0,08137999;0,73275;1,59657;359,6301;121,5692;0,006593897
0,08633;0,75448;1,64443;359,624;121,5615;0,003899348
0,08293;0,71646;1,57323;359,6204;121,5577;359,9908
0,0959;0,81757;1,81306;359,6444;121,5535;359,9907
0,13058;1,09135;2,44384;359,627;121,5516;359,9869
0,13716;1,14048;2,57905;359,6334;121,5389;359,97
0,13273;1,09674;2,50343;359,6096;121,5483;359,9647
0,1243;1,01729;2,3447;359,5999;121,5336;-0,003704093
0,09734;0,79745;1,84177;359,6259;121,533;359,9911
0,07947;0,65246;1,52175;359,5518;121,5889;-0,0008033721
0,05347;0,43201;1,02341;359,5955;121,49;359,9821
0,04525;0,35765;0,8589;359,6559;121,4921;359,9832
0,03127;0,23733;0,58888;359,6188;121,4537;0,01381456
0,02489;0,18047;0,4606;359,6133;121,4338;0,01742545
0,02262;0,1636;0,42321;359,6775;121,4439;359,9843
0,01984;0,14011;0,37216;359,6331;121,4058;359,989
0,02018;0,14099;0,37986;359,653;121,4063;359,9788
0,01851;0,12731;0,34928;359,6277;121,3549;0,004275202
0,01936;0,1312;0,36041;359,6733;121,3797;-0,001812391
0,01913;0,12908;0,35675;359,6502;121,3738;-0,00512259
0,0185;0,12117;0,33937;359,639;121,3749;359,9919
0,01659;0,10715;0,30491;359,6432;121,3728;359,9895
0,01722;0,11133;0,31524;359,6585;121,3719;-0,004368224
0,01672;0,10871;0,30955;359,6501;121,3726;359,989
0,01634;0,10415;0,29919;359,6411;121,3808;0,003348846
0,01709;0,10887;0,31229;359,67;121,388;0,009197455
0,01821;0,11628;0,33102;359,6329;121,3798;359,975
0,01755;0,11153;0,32071;359,6137;121,4003;-0,001991779
0,01836;0,1181;0,33628;359,6476;121,384;-0,001973989
0,02015;0,1317;0,37121;359,642;121,387;359,9856
0,03728;0,26444;0,6895;359,606;121,3855;359,9869
0,08472;0,16898;0,719;359,637;121,3829;0,005598812
-Infini;+Infini;+Infini;359,6583;121,3886;359,9931
0,11973;0,09951;0,7247;359,6251;121,3668;0,006761685
0,04565;0,03481;0,74343;359,6656;121,3716;0,02051263
0,07448;0,09583;0,74676;359,6446;121,3595;0,002392079
0,02882;0,03995;0,28651;359,649;121,366;0,01047763
0,01816;0,04032;0,20539;359,6395;121,3603;0,002386784
0,05543;0,27535;0,82727;359,6384;121,3278;359,9937
0,06829;0,4488;1,18555;359,629;121,3359;0,003352453
0,02746;0,1876;0,50196;359,6284;121,3431;0,0001211717
0,02296;0,16884;0,45782;359,6373;121,3475;0,003387615
0,01908;0,13438;0,37456;359,646;121,3497;0,004496792
0,02338;0,16827;0,45751;359,6304;121,3521;-0,003724665
0,02986;0,21967;0,57897;359,6214;121,3677;-0,004690828
0,02527;0,18352;0,48904;359,6339;121,3658;0,003803186
0,02623;0,19228;0,50798;359,6393;121,3684;359,9929
0,02083;0,14874;0,403;359,6206;121,3666;0,007530942
0,01851;0,1296;0,35692;359,4329;121,2967;0,02553758
0,01502;0,10099;0,28765;359,6555;121,3776;-0,005107006
0,01454;0,09779;0,27881;359,5884;121,356;-0,001520023
0,0141;0,09405001;0,26918;359,6696;121,3526;359,9676
0,01493;0,10817;0,30313;359,61;121,3598;0,009219262
0,01789;0,13964;0,38282;359,6529;121,333;0,002699001
0,01884;0,15166;0,41309;359,6523;121,3272;0,0007211585
0,02104;0,17476;0,47166;359,6573;121,3305;359,9912
