-Infini;+Infini;+Infini;26,55164;80,72391;-1,908872E-06
-Infini;+Infini;+Infini;26,53913;80,98429;-9,54332E-07
-Infini;+Infini;+Infini;26,13191;81,08567;-1,901961E-06
-Infini;+Infini;+Infini;26,11595;81,06074;-9,508506E-07
-Infini;+Infini;+Infini;26,10877;81,02949;0
-Infini;+Infini;+Infini;26,10812;81,02024;9,50787E-07
-Infini;+Infini;+Infini;26,10711;81,01183;9,507787E-07
-Infini;+Infini;+Infini;26,10795;81,00394;0
-Infini;+Infini;+Infini;26,10902;80,98293;-1,901588E-06
-Infini;+Infini;+Infini;26,10861;80,97614;0
-Infini;+Infini;+Infini;26,10645;80,96816;4,753867E-06
-Infini;+Infini;+Infini;26,10759;80,96294;2,852348E-06
0,03691;0,03208;0,45401;26,10681;80,94803;-3,803105E-06
-Infini;+Infini;+Infini;26,10691;80,95736;0
0,05188;0,07695;0,76529;26,10647;80,95181;0
0,03393;0,04722;0,51795;26,10472;80,94566;3,803037E-06
0,01828;0,01341;0,26487;26,10482;80,94239;2,85228E-06
-Infini;+Infini;+Infini;26,10437;80,9388;-1,901513E-06
0,01769;0,01338;0,269;26,10169;80,93607;-9,507345E-07
0,01895;0,01931;0,31236;26,09761;80,93378;0
0,01645;0,01384;0,27378;26,09215;80,93244;1,901314E-06
0,01439;0,00923;0,23795;26,08903;80,93333;-1,901263E-06
0,0147;0,01041;0,24596;26,08668;80,93596;-9,506127E-07
0,01755;0,01927;0,30678;26,08226;80,93851;-1,901154E-06
0,01819;0,0221;0,32495;26,07906;80,94167;3,802203E-06
0,01912;0,02638;0,35088;26,074;80,94473;-2,851529E-06
0,01856;0,0259;0,34616;26,0688;80,93372;0
0,02034;0,03236;0,39271;26,06717;80,93902;9,504542E-07
0,01986;0,03105;0,38221;26,05424;80,95363;-2,851048E-06
0,01991;0,0319;0,38521;26,05179;80,95853;-1,900659E-06
0,0201;0,03318;0,39099;26,04898;80,96354;-3,801227E-06
0,02015;0,03438;0,3959;26,04781;80,96886;-3,801189E-06
0,0206;0,03707;0,40842;26,04667;80,97428;-2,850864E-06
0,02041;0,03869;0,41248;26,04772;80,98001;1,900593E-06
