-Infini;+Infini;+Infini;25,6423;75,45926;6,754169
-Infini;+Infini;+Infini;25,359;81,12063;1,547343
-Infini;+Infini;+Infini;28,70051;81,95555;0,6020519
-Infini;+Infini;+Infini;26,34511;81,10082;359,8715
-Infini;+Infini;+Infini;26,17386;81,12392;359,9691
-Infini;+Infini;+Infini;26,14053;81,03812;359,9883
-Infini;+Infini;+Infini;26,12376;81,02135;359,9908
-Infini;+Infini;+Infini;26,1008;81,01933;359,9804
-Infini;+Infini;+Infini;25,97657;81,05256;0,06573588
-Infini;+Infini;+Infini;26,11968;80,98655;-0,002037738
-Infini;+Infini;+Infini;26,10896;80,9782;359,9784
-Infini;+Infini;+Infini;26,14661;80,96758;0,00792552
0,03691;0,03208;0,45401;26,12319;80,96737;359,9578
-Infini;+Infini;+Infini;26,25756;80,89754;359,9233
0,05188;0,07695;0,76529;26,12941;80,95263;-0,004094834
0,03393;0,04722;0,51795;26,11261;80,94907;-0,001917811
0,01828;0,01341;0,26487;26,1056;80,94378;-0,005510642
-Infini;+Infini;+Infini;26,13073;80,93404;0,002727385
0,01769;0,01338;0,269;26,11889;80,93291;359,9866
0,01895;0,01931;0,31236;26,11752;80,93275;-0,003413599
0,01645;0,01384;0,27378;26,13083;80,92062;359,989
0,01439;0,00923;0,23795;26,11726;80,93324;-0,0006998339
0,0147;0,01041;0,24596;26,04869;80,92008;0,0009484036
0,01755;0,01927;0,30678;26,12374;80,94066;0,007937279
0,01819;0,0221;0,32495;26,09425;80,93488;0,002872938
0,01912;0,02638;0,35088;26,09019;80,9385;359,9875
0,01856;0,0259;0,34616;25,93615;80,99243;0,09029222
0,02034;0,03236;0,39271;26,07601;80,92968;0,005433207
0,01986;0,03105;0,38221;26,10461;80,94598;0,04749609
0,01991;0,0319;0,38521;26,07545;80,96306;0,01509808
0,0201;0,03318;0,39099;26,04556;80,94841;0,006056129
0,02015;0,03438;0,3959;26,06907;80,96136;0,01161854
0,0206;0,03707;0,40842;26,06971;80,97057;0,00830905
0,02041;0,03869;0,41248;26,06917;80,94454;0,005462355
0,01942;0,03684;0,39485;26,00372;80,96044;359,9632
0,01828;0,03354;0,36924;26,05016;80,96415;359,9906
0,01879;0,03648;0,38424;26,03986;80,95243;359,9852
0,01799;0,03517;0,36923;26,06075;80,98947;0,002761869
0,01675;0,03539;0,35851;26,05002;80,99095;0,01140093
0,01471;0,03117;0,32044;26,04637;80,98973;0,01782355
0,01357;0,02921;0,29991;26,03783;81,00511;359,9824
0,01418;0,03536;0,32966;26,03975;80,994;-0,001127925
0,01287;0,03217;0,3049;26,04055;81,00223;359,9887
0,01223;0,03078;0,29466;26,03417;80,98458;359,9934
0,01135;0,02765;0,27535;26,02367;80,97063;359,9905
0,01141;0,0289;0,28087;26,07892;80,99452;0,002946704
0,01195;0,03319;0,30474;26,005;80,95148;359,9802
0,0124;0,03696;0,3255;26,03715;80,96238;359,98
0,01217;0,03764;0,32865;26,01953;80,94491;0,005228225
0,0124;0,03996;0,34108;26,05575;80,9609;359,9794
0,01261;0,04165;0,35098;26,01728;80,93334;-0,004975412
0,01236;0,04092;0,34673;26,04128;80,93688;359,9941
0,01244;0,04121;0,34932;26,02523;80,93008;359,9926
0,0127;0,04289;0,35883;26,02894;80,91405;0,001649451
0,01322;0,04573;0,37556;26,02129;80,92665;0,007812528
0,01359;0,04828;0,3906;26,03148;80,90545;359,992
0,01357;0,04846;0,39149;26,01207;80,89862;0,001986466
0,01299;0,04515;0,37137;26,00977;80,89675;0,006753474
0,01313;0,04493;0,36996;26,01632;80,89066;-0,001622672
0,01296;0,04352;0,36176;26,00713;80,89398;0,008110825
0,01312;0,04378;0,36269;26,01813;80,89577;0,005093254
0,01343;0,04491;0,36866;26,18645;80,84533;359,9412
0,01362;0,04581;0,37333;26,0122;80,90643;0,001232161
0,03391;0,09972;0,64887;25,97723;80,90659;0,01219068
0,03502;0,13247;0,80864;25,99056;80,90526;0,003918065
0,03663;0,12555;0,76636;25,97192;80,90993;0,0116982
