-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,16174;1,23543;2,65483;359,6646;121,601;-2,267875E-07
0,16087;1,22576;2,63847;359,6625;121,5989;5,069369E-07
0,17476;1,32249;2,84297;359,6573;121,5959;-3,201708E-07
0,16964;1,28491;2,76344;359,6529;121,594;0
0,16371;1,26168;2,71813;359,6473;121,5919;-1,73426E-07
0,15266;1,20581;2,60354;359,6389;121,5879;-5,869811E-07
0,13518;1,09638;2,37682;359,6197;121,582;-4,002152E-08
0,13171;1,06819;2,31412;359,6143;121,5827;-3,735344E-07
0,12678;1,03207;2,23587;359,6104;121,588;4,135561E-07
0,11235;0,93412;2,0277;359,6055;121,589;-8,004317E-07
0,09937;0,83374;1,81221;359,6084;121,5951;4,802589E-07
0,0967;0,81144;1,76169;359,6071;121,5958;4,669184E-07
0,09381;0,78494;1,70529;359,6138;121,5989;-1,067241E-07
0,10392;0,86928;1,87549;359,6205;121,6017;4,002152E-08
0,11317;0,93986;2,01215;359,6275;121,5981;-5,336198E-07
0,11851;0,98855;2,10998;359,6316;121,5962;1,600859E-07
0,11435;0,96193;2,05416;359,6321;121,593;2,134478E-07
0,11026;0,93822;2,00437;359,6356;121,5906;3,735335E-07
0,10715;0,92101;1,96847;359,6393;121,5907;-4,402357E-07
0,10307;0,90272;1,9326;359,6389;121,5872;4,268953E-07
0,10158;0,89794;1,92416;359,6409;121,5888;3,201714E-07
0,09734;0,87465;1,87814;359,6434;121,5882;-1,600857E-07
0,0994;0,89266;1,91462;359,6393;121,5842;-4,002144E-08
0,09146;0,8282;1,78206;359,6382;121,585;4,669167E-07
0,08216;0,7473;1,61587;359,6389;121,5833;4,002144E-07
0,07368;0,67329;1,46154;359,6406;121,5825;2,668095E-08
0,07208;0,65949;1,43411;359,6393;121,5799;-1,200643E-07
0,06679;0,61195;1,33506;359,6318;121,5738;6,670244E-08
0,06537;0,60034;1,31357;359,6255;121,5684;-2,267885E-07
0,07306;0,66356;1,44854;359,6227;121,5655;-4,00215E-08
0,08137999;0,73275;1,59657;359,6209;121,5618;-2,668101E-07
0,08633;0,75448;1,64443;359,6201;121,5537;-8,004304E-08
0,08293;0,71646;1,57323;359,6191;121,5481;-3,068317E-07
0,0959;0,81757;1,81306;359,6181;121,541;-2,534697E-07
0,13058;1,09135;2,44384;359,6176;121,5314;-2,668103E-08
0,13716;1,14048;2,57905;359,6166;121,5223;-2,801507E-07
0,13273;1,09674;2,50343;359,6166;121,5119;-2,401293E-07
0,1243;1,01729;2,3447;359,6186;121,5008;1,334051E-07
0,09734;0,79745;1,84177;359,6202;121,4894;3,601937E-07
0,07947;0,65246;1,52175;359,6327;121,4557;-1,067239E-07
0,05347;0,43201;1,02341;359,6367;121,4453;5,202788E-07
0,04525;0,35765;0,8589;359,6436;121,4376;-2,401285E-07
0,03127;0,23733;0,58888;359,64;121,4234;1,334048E-08
0,02489;0,18047;0,4606;359,6417;121,4156;-6,670237E-08
0,02262;0,1636;0,42321;359,6422;121,4085;0
0,01984;0,14011;0,37216;359,6435;121,4034;2,534689E-07
0,02018;0,14099;0,37986;359,6486;121,4032;-8,537896E-07
0,01851;0,12731;0,34928;359,6443;121,3967;2,801499E-07
0,01936;0,1312;0,36041;359,644;121,396;4,135545E-07
0,01913;0,12908;0,35675;359,6418;121,3946;-4,002142E-08
0,0185;0,12117;0,33937;359,6424;121,3936;-4,002141E-08
0,01659;0,10715;0,30491;359,6403;121,3921;-2,8015E-07
0,01722;0,11133;0,31524;359,6411;121,3911;4,402356E-07
0,01672;0,10871;0,30955;359,6392;121,3916;3,201714E-07
0,01634;0,10415;0,29919;359,6378;121,3919;6,803644E-07
0,01709;0,10887;0,31229;359,6375;121,3905;9,338336E-08
0,01821;0,11628;0,33102;359,636;121,3842;1,600858E-07
0,01755;0,11153;0,32071;359,6349;121,38;6,003218E-07
0,01836;0,1181;0,33628;359,6365;121,3763;-1,067238E-07
0,02015;0,1317;0,37121;359,637;121,3719;-4,935977E-07
0,03728;0,26444;0,6895;359,6364;121,3674;2,001072E-07
0,08472;0,16898;0,719;359,6394;121,3634;2,801501E-07
-Infini;+Infini;+Infini;359,637;121,3586;-3,068311E-07
0,11973;0,09951;0,7247;359,6391;121,3574;5,86981E-07
0,04565;0,03481;0,74343;359,6369;121,3528;-8,004288E-08
0,07448;0,09583;0,74676;359,636;121,3528;-9,338338E-08
0,02882;0,03995;0,28651;359,6351;121,3542;-2,134477E-07
0,01816;0,04032;0,20539;359,6337;121,3529;-2,668097E-07
0,05543;0,27535;0,82727;359,6334;121,3537;2,267883E-07
0,06829;0,4488;1,18555;359,6339;121,3564;6,670243E-07
0,02746;0,1876;0,50196;359,6338;121,3595;4,002146E-07
0,02296;0,16884;0,45782;359,6339;121,3628;1,334048E-08
0,01908;0,13438;0,37456;359,6327;121,3627;4,93598E-07
0,02338;0,16827;0,45751;359,6346;121,3648;-2,534692E-07
0,02986;0,21967;0,57897;359,6363;121,3659;8,004289E-08
0,02527;0,18352;0,48904;359,6348;121,3578;4,40236E-07
0,02623;0,19228;0,50798;359,6361;121,3567;-1,734263E-07
0,02083;0,14874;0,403;359,6376;121,3546;6,67024E-07
0,01851;0,1296;0,35692;359,6469;121,3512;3,068307E-07
0,01502;0,10099;0,28765;359,6477;121,3469;1,200642E-07
0,01454;0,09779;0,27881;359,652;121,3417;5,602992E-07
0,0141;0,09405001;0,26918;359,6529;121,3336;1,200641E-07
0,01493;0,10817;0,30313;359,6555;121,3304;4,268945E-07
0,01789;0,13964;0,38282;359,6573;121,3279;9,605125E-07
0,01884;0,15166;0,41309;359,6583;121,3268;-4,669158E-07
0,02104;0,17476;0,47166;359,6582;121,3228;2,801495E-07
0,01869;0,15119;0,41192;359,6505;121,3187;-7,737467E-07
0,01698;0,13597;0,3736;359,6508;121,3166;2,934901E-07
0,01722;0,1383;0,37926;359,6499;121,315;-5,469589E-07
0,01932;0,16263;0,4394;359,6501;121,3135;-2,267878E-07
0,01965;0,1664;0,4494;359,6503;121,3073;-8,6713E-07
0,02209;0,19356;0,51894;359,651;121,3042;-8,004276E-08
0,02361;0,20888;0,55848;359,6507;121,3019;-4,002138E-07
0,01986;0,17662;0,47736;359,6505;121,2982;5,46959E-07
0,01763;0,15528;0,42346;359,6508;121,2953;-8,004276E-08
0,01528;0,13206;0,36527;359,6501;121,291;-2,00107E-07
0,01445;0,12462;0,34698;359,6497;121,2855;-6,937041E-07
0,01468;0,12834;0,35706;359,6508;121,2803;4,669161E-07
0,01438;0,128;0,35653;359,6487;121,2775;-1,73426E-07
0,01372;0,12306;0,34569;359,6476;121,2719;2,00107E-07
0,01299;0,11618;0,32894;359,6458;121,2701;-6,27002E-07
0,01125;0,09801;0,28365;359,6451;121,2689;-5,469592E-07
0,0116;0,10715;0,307;359,6445;121,2682;2,801499E-07
0,01317;0,12629;0,35669;359,6435;121,2668;3,868737E-07
0,01303;0,12555;0,35572;359,6435;121,2668;3,868737E-07
0,01326;0,12923;0,36561;359,6418;121,2666;-2,934904E-07
0,01356;0,13256;0,37443;359,64;121,2651;1,067238E-07
0,01357;0,13474;0,3799;359,638;121,263;1,067238E-07
0,01292;0,12929;0,36657;359,6394;121,2629;-2,534691E-07
0,01255;0,12491;0,35602;359,6396;121,2595;-2,267881E-07
0,01247;0,12383;0,35336;359,6424;121,2591;3,068309E-07
0,01239;0,12442;0,35453;359,6412;121,2558;-2,53469E-07
0,0115;0,11311;0,32572;359,6413;121,2497;0
0,01064;0,10386;0,30198;359,6426;121,2464;-8,404497E-07
0,01056;0,10365;0,30096;359,6437;121,2423;-3,335117E-07
0,01007;0,09869999;0,28787;359,6479;121,2353;-2,267879E-07
0,00878;0,08246;0,24738;359,6483;121,233;3,468521E-07
0,00781;0,06963;0,21502;359,6469;121,2323;-3,73533E-07
0,00784;0,06853;0,21203;359,6478;121,2296;1,73426E-07
0,00767;0,06678;0,20732;359,6468;121,2275;-1,867665E-07
0,008649999;0,07545;0,22677;359,6471;121,2258;-2,401284E-07
0,00765;0,06229;0,19452;359,648;121,2244;7,604065E-07
0,00731;0,05866;0,1857;359,6486;121,2242;-9,338324E-08
0,0073;0,05946;0,18732;359,6499;121,2258;-6,003207E-07
0,00734;0,06025;0,18893;359,6501;121,2276;-2,401283E-07
0,00741;0,06094;0,19055;359,6504;121,2292;1,187301E-06
0,00752;0,06178;0,19209;359,6511;121,2317;-6,803634E-07
0,0076;0,06254;0,19365;359,6511;121,2341;-1,334046E-07
0,00754;0,06325;0,19521;359,6513;121,2375;3,468519E-07
0,00763;0,06392;0,19677;359,6526;121,2412;-2,668092E-07
0,00764;0,0646;0,19831;359,6557;121,2467;9,471722E-07
0,00771;0,06534;0,19982;359,6557;121,2524;-4,13554E-07
0,00774;0,06597;0,20136;359,6558;121,2532;4,935968E-07
0,00777;0,06657;0,2029;359,6545;121,2539;-7,470655E-07
